epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,326.456,0.49159,0.89062,1,0.20355,0.000235264,0.000235264,0.000235264
2,649.411,0.22374,0.94792,1,0.12531,0.00043422,0.00043422,0.00043422
3,970.832,0.18042,0.92708,1,0.15793,0.000593906,0.000593906,0.000593906
4,1289.8,0.15358,0.98438,1,0.05499,0.000537285,0.000537285,0.000537285
5,1608.42,0.09377,0.97396,1,0.0591,0.00047838,0.00047838,0.00047838
6,1932.45,0.11121,0.97917,1,0.05637,0.000419475,0.000419475,0.000419475
7,2250.56,0.12312,0.98958,1,0.03702,0.00036057,0.00036057,0.00036057
8,2571.98,0.06371,0.98438,1,0.04448,0.000301665,0.000301665,0.000301665
9,2891.69,0.06489,0.98438,1,0.03486,0.00024276,0.00024276,0.00024276
10,3211.03,0.05079,0.98958,1,0.02418,0.000183855,0.000183855,0.000183855
11,3536.32,0.04873,0.98958,1,0.02571,0.00012495,0.00012495,0.00012495
12,3854.91,0.04463,0.98958,1,0.02298,6.6045e-05,6.6045e-05,6.6045e-05
