epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.881,2.26561,4.20323,1.64374,0.00186,0.17311,0.09174,0.04507,1.80947,4.45286,1.44308,0.00020006,0.00020006,0.00020006
2,336.463,1.50834,3.09935,1.1947,0.00374,0.43658,0.20894,0.09778,1.66341,3.99959,1.21118,0.000397999,0.000397999,0.000397999
3,495.696,1.47418,2.55039,1.13148,0.60171,0.14921,0.19753,0.09361,1.6205,3.84634,1.18015,0.000578962,0.000578962,0.000578962
4,654.861,1.37049,2.05389,1.10758,0.48029,0.24145,0.23808,0.13639,1.56415,3.71243,1.1682,0.000742949,0.000742949,0.000742949
5,812.105,1.34517,1.85366,1.10466,0.77994,0.13053,0.41131,0.22549,1.53517,3.27321,1.18195,0.000889958,0.000889958,0.000889958
6,968.941,1.3609,1.74024,1.13005,0.65035,0.38369,0.46761,0.26215,1.5597,2.80646,1.15847,0.00101999,0.00101999,0.00101999
7,1127.06,1.34064,1.63325,1.10377,0.69429,0.48708,0.54554,0.3027,1.52076,2.50312,1.1468,0.00108947,0.00108947,0.00108947
8,1283.87,1.28511,1.57438,1.09722,0.59005,0.60821,0.61697,0.35774,1.40391,2.17147,1.13966,0.00103288,0.00103288,0.00103288
9,1438.89,1.24297,1.41986,1.07113,0.69954,0.66772,0.70217,0.42631,1.38035,2.0464,1.1022,0.000976293,0.000976293,0.000976293
10,1596.34,1.23172,1.39839,1.08045,0.64494,0.70363,0.72935,0.46568,1.32106,1.83023,1.09054,0.000919704,0.000919704,0.000919704
11,1753.05,1.16955,1.29846,1.0412,0.70748,0.7186,0.72844,0.45836,1.35157,1.65335,1.10456,0.000863116,0.000863116,0.000863116
12,1909.25,1.19031,1.29786,1.06175,0.67436,0.71682,0.69377,0.4175,1.39301,1.73005,1.11733,0.000806528,0.000806528,0.000806528
13,2065.64,1.17053,1.23769,1.04849,0.70864,0.74331,0.74441,0.46998,1.2959,1.56381,1.07472,0.000749939,0.000749939,0.000749939
14,2223.38,1.17471,1.24406,1.04746,0.67446,0.82684,0.77749,0.50257,1.25603,1.48207,1.04541,0.000693351,0.000693351,0.000693351
15,2378.55,1.15156,1.21429,1.02145,0.84689,0.78219,0.81077,0.5288,1.24706,1.39955,1.04332,0.000636762,0.000636762,0.000636762
16,2530.19,1.11369,1.41128,1.0313,0.77625,0.83098,0.82964,0.55672,1.21532,1.40169,1.02578,0.000580174,0.000580174,0.000580174
17,2684.95,1.09014,1.31998,1.0338,0.76745,0.83985,0.8219,0.56147,1.1561,1.29624,1.01429,0.000523586,0.000523586,0.000523586
18,2841.01,1.04781,1.25699,1.02857,0.8087,0.82514,0.81296,0.54795,1.1699,1.25536,1.01464,0.000466997,0.000466997,0.000466997
19,2993.84,1.02382,1.20518,1.01492,0.84328,0.82927,0.81899,0.55722,1.15532,1.25086,1.01393,0.000410409,0.000410409,0.000410409
20,3148.25,0.99933,1.14691,0.99111,0.8358,0.84821,0.83519,0.57416,1.19194,1.23886,1.00496,0.00035382,0.00035382,0.00035382
21,3300.1,0.99822,1.13096,0.99905,0.83511,0.84189,0.84071,0.56195,1.21804,1.23103,1.00631,0.000297232,0.000297232,0.000297232
22,3454.94,1.0137,1.14599,1.01111,0.82361,0.85142,0.83843,0.58805,1.1177,1.16962,0.99398,0.000240644,0.000240644,0.000240644
23,3607.4,0.96671,1.08066,0.96035,0.82779,0.86582,0.84759,0.59855,1.101,1.14369,0.98543,0.000184055,0.000184055,0.000184055
24,3759.64,0.95749,1.07177,0.959,0.83299,0.85131,0.85126,0.59088,1.1168,1.1296,0.99815,0.000127467,0.000127467,0.000127467
25,3913.07,0.94484,1.0476,0.98195,0.83792,0.86238,0.8429,0.59063,1.1203,1.11104,1.00487,7.08784e-05,7.08784e-05,7.08784e-05
